Instrument,Date,Price,PE,Forward_PE
.IXIC,2020-12-31,12888.282,36.54309,33.38549
.IXIC,2021-01-29,13070.695,33.85964,27.78861
.IXIC,2021-02-26,13192.35,34.59652,27.35348
.IXIC,2021-03-31,13246.87,35.00633,27.40097
.IXIC,2021-04-30,13962.68,33.19983,27.2787
.IXIC,2021-05-28,13748.739,32.20327,26.72436
.IXIC,2021-06-30,14503.953,33.79213,26.76775
.IXIC,2021-07-30,14672.678,31.59544,27.77328
.IXIC,2021-08-31,15259.235,32.0897,28.47577
.IXIC,2021-09-30,14448.581,30.22056,27.10463
.IXIC,2021-10-29,15498.388,30.76886,28.84978
.IXIC,2021-11-30,15537.691,30.82904,28.92227
.IXIC,2021-12-31,15644.971,31.31717,29.03673
.IXIC,2022-01-31,14239.883,27.94128,24.98905
.IXIC,2022-02-28,13751.399,25.58486,
.IXIC,2022-03-31,14220.519,26.40037,
.IXIC,2022-04-29,12334.64,23.11951,
.IXIC,2022-05-31,12081.391,22.46659,
.IXIC,2022-06-30,11028.736,20.50382,19.77212
.IXIC,2022-07-29,12390.688,23.67083,22.89866
.IXIC,2022-08-31,11816.203,22.66473,21.85854
.IXIC,2022-09-30,10575.619,20.36766,19.65355
.IXIC,2022-10-31,10988.146,21.94722,19.7102
.IXIC,2022-11-30,11467.996,23.06587,22.08045
.IXIC,2022-12-30,10466.482,21.04922,19.12632
.IXIC,2023-01-31,11584.552,23.4757,21.38076
.IXIC,2023-03-31,12221.907,25.20902,23.17419
.IXIC,2023-04-28,12226.584,26.80726,23.07396
.IXIC,2023-06-30,13787.923,30.05458,25.91108
.IXIC,2023-07-31,14346.024,30.62635,26.61123
.IXIC,2023-08-31,14034.969,29.511,25.59277
.IXIC,2023-09-29,13219.322,27.75908,24.20355
.IXIC,2023-10-31,12851.238,26.1379,23.54946
.IXIC,2023-11-30,14226.218,28.75906,26.20337
.IXIC,2023-12-29,15011.352,17.48627,27.33659
.IXIC,2024-01-31,15164.012,17.3969,24.38306
.IXIC,2024-02-29,16091.922,14.26906,25.50392
.IXIC,2024-03-28,16379.458,14.55568,26.04184
.IXIC,2024-04-30,15657.822,17.44913,24.86907
.IXIC,2024-05-31,16735.015,18.51095,26.24531
.IXIC,2024-06-28,17732.603,19.71723,27.83619
.IXIC,2024-07-31,17599.4,19.41447,27.30216
.IXIC,2024-08-30,17713.624,19.13661,27.51999
.IXIC,2024-09-30,18189.17,19.74569,28.47485
.IXIC,2024-10-31,18095.151,19.47515,28.65388
.IXIC,2024-12-31,19310.792,31.03999,31.23716
.IXIC,2025-01-31,19627.441,15.84034,26.04887
.IXIC,2025-02-28,18847.279,14.62166,25.15145
.IXIC,2025-03-31,17299.287,12.86794,23.05957
.IXIC,2025-04-30,17446.342,9.49748,23.41957
.IXIC,2025-05-30,19113.767,9.9873,25.55779
.IXIC,2025-06-30,20369.733,31.90658,26.19541
.IXIC,2025-07-31,21122.448,31.98602,28.61405
.IXIC,2025-08-29,21455.552,32.42845,28.172
.IXIC,2025-09-30,22660.009,33.62326,30.13894
.IXIC,2025-10-31,23724.957,34.24184,31.27654
.IXIC,2025-11-28,23365.686,31.88886,28.40314
.IXIC,2025-12-31,23241.991,29.87138,30.98576
.IXIC,2026-01-30,23461.816,29.03806,24.61685
.IXIC,2026-03-31,21590.629,21.86044,0.03094
.IXIC,2026-04-30,24892.313,15.56309,0.03571
.IXIC,2026-05-29,26972.62,27.8695,0.00152
