Date,Price,PE,Forward_PE,Source,EPS,Forward_EPS,Band_15x,Band_20x,Band_25x,Band_30x,Band_35x,Band_40x,Band_fwd_15x,Band_fwd_20x,Band_fwd_25x,Band_fwd_30x,Band_fwd_35x,Band_fwd_40x,SD_minus_2,SD_minus_1,SD_mean,SD_plus_1,SD_plus_2,SD_fwd_minus_2,SD_fwd_minus_1,SD_fwd_mean,SD_fwd_plus_1,SD_fwd_plus_2
2022-11-07,2754.89990234375,14.879154941099832,24.77746729915816,YFINANCE,185.15163752573397,111.18569420682276,2777.27456288601,3703.0327505146797,4628.790938143349,5554.54912577202,6480.307313400689,7406.065501029359,1667.7854131023414,2223.7138841364554,2779.642355170569,3335.570826204683,3891.4992972387968,4447.427768272911,1729.7159616756435,3500.4618226004704,5271.2076835252965,7041.953544450123,8812.69940537495,1313.5622175034948,1853.7501188974356,2393.9380202913767,2934.1259216853173,3474.3138230792583
2022-11-14,2724.030029296875,14.486751591081635,24.95560358271878,YFINANCE,188.0359452683546,109.1550448887242,2820.539179025319,3760.718905367092,4700.898631708865,5641.078358050638,6581.258084392411,7521.437810734184,1637.325673330863,2183.100897774484,2728.876122218105,3274.651346661726,3820.426571105347,4366.201795548968,1756.6616220406625,3554.992310543204,5353.322999045745,7151.653687548286,8949.984376050827,1289.5718629863773,1819.8939970130682,2350.216131039759,2880.5382650664505,3410.8603990931415
2022-11-21,2751.27001953125,14.656130573507376,24.063081615227038,YFINANCE,187.72144569348228,114.33573070667123,2815.8216854022344,3754.428913869646,4693.036142337057,5631.643370804469,6570.25059927188,7508.857827739292,1715.0359606000684,2286.7146141334247,2858.3932676667805,3430.071921200137,4001.750574733493,4573.429228266849,1753.7235171345083,3549.0464071216825,5344.369297108856,7139.69218709603,8935.015077083202,1350.7771574242818,1906.2692903410496,2461.7614232578176,3017.2535561745854,3572.745689091353
2022-11-28,2771.239990234375,14.572177045991165,24.77177245248009,YFINANCE,190.17336815824297,111.87088027513853,2852.6005223736447,3803.4673631648593,4754.334203956074,5705.201044747289,6656.067885538504,7606.934726329719,1678.063204127078,2237.4176055027706,2796.7720068784633,3356.126408254156,3915.4808096298484,4474.835211005541,1776.6297656601157,3595.402254115897,5414.174742571678,7232.947231027459,9051.719719483239,1321.6570946162387,1865.1739244928258,2408.690754369413,2952.2075842459994,3495.7244141225865
2022-12-05,2721.02001953125,14.550843947561413,19.622982920730145,YFINANCE,187.00083853124326,138.664953769934,2805.012577968649,3740.0167706248653,4675.020963281081,5610.025155937298,6545.029348593514,7480.033541249731,2079.9743065490097,2773.2990753986796,3466.6238442483495,4159.948613098019,4853.27338194769,5546.598150797359,1746.9914907410102,3535.4226666340533,5323.853842527095,7112.285018420138,8900.716194313181,1638.2057553666557,2311.8997131031,2985.5936708395443,3659.2876285759885,4332.981586312433
2022-12-12,2636.10009765625,13.98738469678864,18.92819420357587,YFINANCE,188.46268654221484,139.26844099889064,2826.9402981332228,3769.253730844297,4711.567163555371,5653.8805962664455,6596.194028977519,7538.507461688594,2089.0266149833597,2785.3688199778126,3481.711024972266,4178.053229966719,4874.395434961172,5570.737639955625,1760.6483066996045,3563.0602464104636,5365.472186121322,7167.88412583218,8970.296065543038,1645.3354317909334,2321.961389925934,2998.5873480609343,3675.213306195935,4351.839264330935
2022-12-19,2535.489990234375,13.473064679749948,18.09182360981368,YFINANCE,188.1895508187698,140.1456284848494,2822.8432622815467,3763.791016375396,4704.738770469245,5645.686524563093,6586.634278656943,7527.582032750792,2102.184427272741,2802.9125696969877,3503.640712121235,4204.368854545482,4905.096996969729,5605.825139393975,1758.096629453536,3557.896364604801,5357.696099756065,7157.4958349073295,8957.295570058594,1655.6986385635507,2336.586350609874,3017.4740626561975,3698.361774702521,4379.249486748844
2022-12-26,2532.110107421875,14.262562424618004,18.74641836467276,YFINANCE,177.53542680740924,135.07167386136993,2663.0314021111385,3550.708536148185,4438.385670185231,5326.062804222277,6213.739938259323,7101.41707229637,2026.075107920549,2701.4334772273987,3376.791846534248,4052.150215841098,4727.508585147948,5402.866954454797,1658.5641132609062,3356.470361284495,5054.376609308083,6752.282857331671,8450.189105355259,1595.7542803052668,2251.990539488176,2908.2267986710854,3564.463057853995,4220.699317036904
2023-01-02,2636.10009765625,15.05022170523073,20.28403256211685,YFINANCE,175.15357243807705,129.95937023782542,2627.303586571156,3503.071448761541,4378.839310951927,5254.607173142312,6130.375035332697,7006.142897523082,1949.3905535673814,2599.1874047565084,3248.9842559456356,3898.781107134763,4548.57795832389,5198.374809513017,1636.3124519951605,3311.4392160121092,4986.565980029057,6661.692744046005,8336.819508062954,1535.3568619845005,2166.755352375373,2798.153842766246,3429.552333157119,4060.9508235479916
2023-01-09,2800.659912109375,15.862008497263805,22.046643567748824,YFINANCE,176.5640153699633,127.03339188584476,2648.4602305494495,3531.280307399266,4414.100384249083,5296.920461098899,6179.740537948715,7062.560614798532,1905.5008782876714,2540.6678377168955,3175.834797146119,3811.001756575343,4446.168716004567,5081.335675433791,1649.4890335524105,3338.104935538021,5026.7208375236305,6715.33673950924,8403.95264149485,1500.788974093766,2117.971803767169,2735.154633440572,3352.337463113975,3969.520292787378
2023-01-16,2794.68994140625,15.79604114481372,22.095802336469315,YFINANCE,176.92344023323997,126.48058209651839,2653.8516034985996,3538.4688046647993,4423.086005830999,5307.703206997199,6192.320408163399,7076.937609329599,1897.2087314477758,2529.611641930368,3162.01455241296,3794.4174628955516,4426.820373378144,5059.223283860736,1652.8468376277126,3344.900192813661,5036.953547999608,6729.0069031855555,8421.060258371503,1494.2580075165872,2108.7550495794835,2723.25209164238,3337.749133705277,3952.2461757681735
2023-01-23,2945.27001953125,16.560161079767386,23.36617132364315,YFINANCE,177.85273979790423,126.04846462591273,2667.7910969685636,3557.0547959580845,4446.318494947606,5335.582193937127,6224.845892926648,7114.109591916169,1890.726969388691,2520.9692925182544,3151.2116156478182,3781.453938777382,4411.696261906945,5041.938585036509,1661.528501541998,3362.469454913297,5063.410408284596,6764.351361655894,8465.292315027193,1489.1529156523864,2101.5505452749744,2713.9481748975627,3326.345804520151,3938.743434142739
2023-01-30,3082.110107421875,17.499909228965176,24.67736797824248,YFINANCE,176.12149109439292,124.89622516223396,2641.822366415894,3522.4298218878585,4403.037277359823,5283.644732831788,6164.2521883037525,7044.859643775717,1873.4433774335093,2497.9245032446793,3122.405629055849,3746.8867548670187,4371.367880678189,4995.8490064893585,1645.3549015884055,3329.7386075221925,5014.122313455979,6698.506019389765,8382.889725323552,1475.5402091274848,2082.3397640856283,2689.1393190437716,3295.938874001915,3902.7384289600586
2023-02-06,3011.14990234375,17.067367700064736,24.440951369291447,YFINANCE,176.42731763096245,123.20101033902775,2646.4097644644366,3528.546352619249,4410.6829407740615,5292.819528928873,6174.956117083686,7057.092705238498,1848.0151550854162,2464.020206780555,3080.0252584756936,3696.0303101708323,4312.035361865971,4928.04041356111,1648.2119815952444,3335.520539185913,5022.829096776581,6710.137654367249,8397.446211957917,1455.5127212550485,2054.076193826044,2652.639666397039,3251.203138968034,3849.7666115390293
2023-02-13,3005.8701171875,16.957606459238132,21.725887708319632,YFINANCE,177.25792401261722,138.3543060492043,2658.868860189258,3545.1584802523444,4431.448100315431,5317.737720378516,6204.027340441603,7090.316960504689,2075.3145907380645,2767.086120984086,3458.8576512301074,4150.629181476129,4842.40071172215,5534.172241968172,1655.9716381417238,3351.2239159826036,5046.476193823482,6741.728471664362,8436.980749505241,1634.5357228879714,2306.7204204490768,2978.905118010182,3651.089815571287,4323.274513132393
2023-02-20,2935.110107421875,16.31827176060885,21.89114191097774,YFINANCE,179.86648037735358,134.07752411261868,2697.9972056603037,3597.3296075470716,4496.66200943384,5395.9944113206075,6295.326813207375,7194.659215094143,2011.1628616892801,2681.5504822523735,3351.9381028154667,4022.3257233785603,4692.713343941654,5363.100964504747,1680.3411854020765,3400.5410707692686,5120.740956136459,6840.940841503651,8561.140726870843,1584.0092661843755,2235.415518501021,2886.8217708176667,3538.2280231343125,4189.634275450958
