Instrument,Date,Price,PE,Forward_PE
.SPX,2024-08-30,5648.4,26.82206,22.92546
.SPX,2024-09-30,5762.48,27.52062,23.46234
.SPX,2024-10-31,5705.45,27.3491,23.32378
.SPX,2024-11-29,6032.38,28.46708,24.92292
.SPX,2024-12-31,5881.63,27.75538,24.69962
.SPX,2025-01-31,6040.53,27.47077,21.71187
.SPX,2025-02-28,5954.5,26.73396,21.57347
.SPX,2025-03-31,5611.85,25.13573,20.37935
.SPX,2025-04-30,5569.06,24.4775,20.49429
.SPX,2025-05-30,5911.69,25.84191,21.69788
.SPX,2025-06-30,6204.95,27.10109,22.43863
.SPX,2025-07-31,6339.39,27.22779,23.66473
.SPX,2025-08-29,6460.26,27.89576,23.76036
.SPX,2025-09-30,6688.46,28.76333,24.87243
.SPX,2025-10-31,6840.2,28.59548,25.31311
.SPX,2025-11-28,6849.09,28.13445,25.38714
.SPX,2025-12-31,6845.5,28.12242,25.49443
.SPX,2026-01-30,6939.03,28.15216,21.48475
.SPX,2026-02-27,6878.88,27.46047,
.SPX,2026-03-31,6528.52,26.23863,20.56181
.SPX,2026-04-30,7209.01,27.55921,21.91639
.SPX,2026-05-29,7580.06,27.93674,22.48215
