Instrument,Date,Price,PE,Forward_PE
.SOX,2020-06-30,1996.44,30.15088,23.85764
.SOX,2020-07-31,2136.41,31.96062,24.80663
.SOX,2020-08-31,2260.43,33.39304,27.07341
.SOX,2020-09-30,2244.12,33.15863,25.57357
.SOX,2020-10-30,2246.15,32.07516,24.65019
.SOX,2020-11-30,2663.49,35.54744,29.26121
.SOX,2020-12-31,2795.5,36.76518,32.00896
.SOX,2021-01-29,2887.08,34.95815,23.89918
.SOX,2021-02-26,3067.62,36.56043,24.25718
.SOX,2021-03-31,3124.94,36.98351,24.48697
.SOX,2021-04-30,3108.99,34.04252,23.02403
.SOX,2021-05-28,3186.56,33.58807,23.21587
.SOX,2021-06-30,3345.313,34.78853,24.55323
.SOX,2021-07-30,3356.526,30.20847,22.6033
.SOX,2021-08-31,3417.721,29.2537,22.50638
.SOX,2021-09-30,3258.093,27.16021,22.43476
.SOX,2021-10-29,3451.267,26.78662,22.56771
.SOX,2021-11-30,3833.218,29.095,25.19776
.SOX,2021-12-31,3946.165,28.96093,26.58231
.SOX,2022-01-31,3483.206,25.10575,20.11713
.SOX,2022-02-28,3429.529,24.17146,
.SOX,2022-03-31,3428.997,23.35389,
.SOX,2022-04-29,2919.739,19.65789,
.SOX,2022-05-31,3098.687,19.94786,
.SOX,2022-06-30,2556.251,16.53757,13.01773
.SOX,2022-07-29,2967.136,19.03371,16.18087
.SOX,2022-08-31,2677.389,17.17495,14.73487
.SOX,2022-09-30,2306.697,15.2089,13.20058
.SOX,2022-10-31,2384.454,16.01192,13.78288
.SOX,2022-11-30,2826.849,19.14204,16.97579
.SOX,2022-12-30,2532.113,17.47437,15.68307
.SOX,2023-01-31,2921.92,19.9666,18.59606
.SOX,2023-02-28,2958.388,20.31503,19.15317
.SOX,2023-03-31,3230.864,23.001,20.97757
.SOX,2023-04-28,2994.97,21.53548,19.42401
.SOX,2023-05-31,3453.18,25.65952,22.72652
.SOX,2023-06-30,3673.059,26.78553,24.0141
.SOX,2023-07-31,3861.631,28.44592,25.25563
.SOX,2023-08-31,3670.928,24.40384,23.4768
.SOX,2023-09-29,3434.294,22.19184,21.71846
.SOX,2023-10-31,3215.89,23.73497,20.29226
.SOX,2023-11-30,3724.583,27.22569,24.80826
.SOX,2023-12-29,4175.474,30.63338,28.02791
.SOX,2024-01-31,4260.921,32.91398,24.68621
.SOX,2024-02-29,4726.918,36.44652,28.36601
.SOX,2024-03-28,4905.208,37.40641,29.68392
.SOX,2024-04-30,4673.303,35.68152,28.26449
.SOX,2024-05-31,5123.357,38.72618,30.99173
.SOX,2024-06-28,5472.259,40.48458,31.80434
.SOX,2024-07-31,5233.184,36.43699,29.72547
.SOX,2024-08-30,5158.82,36.90067,29.76318
.SOX,2024-09-30,5173.056,39.49859,30.40721
.SOX,2024-10-31,4946.746,36.33317,29.16651
.SOX,2024-11-29,4926.56,35.59069,30.27614
.SOX,2024-12-31,4979.933,32.93951,29.03621
.SOX,2025-01-31,5015.85,33.91593,22.85475
.SOX,2025-02-28,4766.746,31.32496,22.42682
.SOX,2025-03-31,4270.425,28.57038,20.16232
.SOX,2025-04-30,4230.085,27.04776,19.68627
.SOX,2025-05-30,4758.064,28.96801,21.61364
.SOX,2025-06-30,5546.544,33.09786,25.31015
.SOX,2025-07-31,5607.922,31.40587,25.58429
.SOX,2025-08-29,5668.939,31.71767,25.86346
.SOX,2025-09-30,6369.822,38.76441,31.89742
.SOX,2025-10-31,7228.66,44.61658,35.73767
.SOX,2025-11-28,7025.15,45.18165,38.72724
.SOX,2025-12-31,7083.131,42.90117,34.19923
.SOX,2026-01-30,7998.473,46.66201,25.53824
.SOX,2026-02-27,8098.371,47.37706,
.SOX,2026-03-31,7588.196,44.26814,20.13568
.SOX,2026-04-30,10503.701,49.80387,27.32732
.SOX,2026-05-29,12829.382,62.40631,33.88079
