Instrument,Date,Price,PE,Y1_PE,Y2_PE,Forward_PE,Source,EPS,Forward_EPS,Band_15x,Band_20x,Band_25x,Band_30x,Band_35x,Band_40x,Band_fwd_15x,Band_fwd_20x,Band_fwd_25x,Band_fwd_30x,Band_fwd_35x,Band_fwd_40x,SD_minus_2,SD_minus_1,SD_mean,SD_plus_1,SD_plus_2,SD_fwd_minus_2,SD_fwd_minus_1,SD_fwd_mean,SD_fwd_plus_1,SD_fwd_plus_2
.SOX,2007-04-13,472.44,24.73285,23.18592,18.80774,21.950433589041094,LSEG,19.101720990504532,21.523037259540466,286.525814857568,382.03441981009064,477.5430247626133,573.051629715136,668.5602346676586,764.0688396201813,322.845558893107,430.46074519080935,538.0759314885116,645.691117786214,753.3063040839163,860.9214903816187,137.56144620531475,299.05716888277425,460.5528915602338,622.0486142376932,783.5443369151527,189.4862927628606,289.8760373425052,390.26578192214976,490.6555265017943,591.045271081439
.SOX,2007-04-20,487.31,25.54411,23.74346,19.09025,22.34112273972603,LSEG,19.077196269511838,21.81224308541514,286.15794404267757,381.5439253902367,476.92990673779593,572.3158880853551,667.7018694329143,763.0878507804734,327.1836462812271,436.2448617083028,545.3060771353785,654.3672925624542,763.4285079895299,872.4897234166056,137.38483091032566,298.67320904840324,459.9615871864808,621.2499653245583,782.538343462636,192.0324268948415,293.7711120835832,395.5097972723249,497.24848246106654,598.9871676498082
.SOX,2007-04-27,498.67,26.20324,24.24704,19.4729,22.71669923287671,LSEG,19.030852673180874,21.951692668374136,285.4627900977131,380.6170534636175,475.7713168295219,570.9255801954262,666.0798435613306,761.234106927235,329.27539002561207,439.0338533674827,548.7923167093534,658.5507800512241,768.3092433930948,878.0677067349654,137.05108652484273,297.9476521877689,458.84421785069503,619.7407835136211,780.6373491765473,193.26012464881507,295.6492435029441,398.03836235707314,500.4274812112022,602.8166000653312
.SOX,2007-05-04,505.61,26.62162,24.63916,19.7292,22.97111879452055,LSEG,18.992458009692875,22.010682393084245,284.8868701453931,379.84916019385753,474.8114502423219,569.7737402907862,664.7360303392506,759.6983203877151,330.16023589626366,440.2136478616849,550.2670598271061,660.3204717925273,770.3738837579485,880.4272957233698,136.7745865467203,297.34654407983265,457.918501612945,618.4904591460573,779.0624166791698,193.7794632584932,296.44372745224416,399.10799164599507,501.77225583974604,604.436520033497
.SOX,2007-05-11,504.86,26.51838,24.5215,19.6691,22.779953698630138,LSEG,19.038116204685203,22.162468224435397,285.57174307027805,380.762324093704,475.95290511713006,571.1434861405561,666.3340671639821,761.524648187408,332.437023366531,443.24936448870795,554.0617056108849,664.874046733062,775.6863878552389,886.4987289774159,137.10339500002095,298.06137027468134,459.01934554934166,619.9773208240019,780.9352960986624,195.1157678947689,298.48800562665963,401.86024335855035,505.23248109044107,608.6047188223317
.SOX,2007-05-18,491.71,25.71578,23.82892,19.15848,22.06310980821918,LSEG,19.120944416230035,22.28652280998135,286.81416624345053,382.4188883246007,478.0236104057509,573.6283324869011,669.2330545680512,764.8377766492014,334.2978421497202,445.730456199627,557.1630702495337,668.5956842994404,780.0282983493472,891.460912399254,137.6998841107336,299.35813146497065,461.01637881920766,622.6746261734446,784.3328735276817,196.20792989922373,300.1587945231611,404.10965914709845,508.0605237710358,612.0113883949731
.SOX,2007-05-25,480.63,25.16248,23.32159,18.78318,21.51866,LSEG,19.10105840123867,22.335498585878486,286.51587601858006,382.02116802477343,477.52646003096675,573.0317520371601,668.5370440433535,764.0423360495469,335.0324787881773,446.7099717175697,558.3874646469621,670.0649575763546,781.742450505747,893.4199434351394,137.55667455475523,299.0467953635464,460.5369161723375,622.0270369811286,783.5171577899198,196.63910687940665,300.81840885508086,404.9977108307551,509.17701280642933,613.3563147821036
.SOX,2007-06-01,489.98,25.69191,23.93911,19.52197,22.09964347945205,LSEG,19.07137305089423,22.171398396339594,286.07059576341345,381.42746101788464,476.78432627235577,572.1411915268269,667.498056781298,762.8549220357693,332.5709759450939,443.4279679267919,554.2849599084899,665.1419518901878,775.9989438718858,886.8559358535838,137.34289487874997,298.5820405471759,459.8211862156018,621.0603318840277,782.2994775524537,195.1943880796181,298.6082787467198,402.0221694138215,505.43606008092314,608.8499507480249
.SOX,2007-06-08,488.36,25.70211,23.82545,19.37499,21.886756465753425,LSEG,19.000774644571983,22.31303668792336,285.0116196685797,380.01549289143964,475.0193661142996,570.0232393371595,665.0271125600194,760.0309857828793,334.6955503188504,446.2607337584672,557.8259171980841,669.3911006377008,780.9562840773176,892.5214675169344,136.8344789680419,297.47674958764077,458.11902020723966,618.7612908268385,779.4035614464374,196.4413549673224,300.5158880773715,404.59042118742065,508.66495429746976,612.7394874075189
.SOX,2007-06-15,502.49,26.47752,24.54608,19.94546,22.45374323287671,LSEG,18.977985853660012,22.37889668499707,284.6697878049002,379.55971707320026,474.4496463415003,569.3395756098004,664.2295048781004,759.1194341464005,335.68345027495604,447.5779336999414,559.4724171249268,671.3669005499121,783.2613839748974,895.1558673998828,136.67036501010693,297.1199675314175,457.56957005272807,618.0191725740385,778.4687750953492,197.0211786481711,301.40290205875806,405.78462546934503,510.166348879932,614.548072290519
