Instrument,Date,Price,PE,Y1_PE,Y2_PE,Forward_PE,EPS,Forward_EPS,Band_12x,Band_15x,Band_18x,Band_21x,Band_24x,Band_27x,Band_fwd_12x,Band_fwd_15x,Band_fwd_18x,Band_fwd_21x,Band_fwd_24x,Band_fwd_27x,SD_minus_2,SD_minus_1,SD_mean,SD_plus_1,SD_plus_2,SD_fwd_minus_2,SD_fwd_minus_1,SD_fwd_mean,SD_fwd_plus_1,SD_fwd_plus_2
.SPX,2007-01-19,1430.5,17.01147,15.02119,,15.02119,84.09032258823018,95.2321354033868,1009.0838710587622,1261.3548388234526,1513.6258065881432,1765.8967743528337,2018.1677421175243,2270.438709882215,1142.7856248406417,1428.482031050802,1714.1784372609625,1999.8748434711229,2285.5712496812835,2571.2676558914436,931.3844326500537,1305.0969225275135,1678.8094124049733,2052.521902282433,2426.2343921598926,981.3757008232388,1269.182059475956,1556.9884181286732,1844.7947767813903,2132.6011354341076
.SPX,2007-01-26,1422.18,16.87508,14.98226,,14.98226,84.27693379823977,94.92426376260991,1011.3232055788772,1264.1540069735966,1516.9848083683157,1769.8156097630351,2022.6464111577543,2275.4772125524737,1139.0911651513188,1423.8639564391488,1708.6367477269785,1993.4095390148082,2278.1823303026376,2562.9551215904676,933.451338455755,1307.9931620518312,1682.534985647907,2057.076809243983,2431.6186328400586,978.2030559387026,1265.0789784997673,1551.954901060832,1838.8308236218968,2125.7067461829615
.SPX,2007-02-02,1448.39,17.0704,15.28916,13.64484,15.140495452054797,84.84804105351955,95.66331594541256,1018.1764926422346,1272.7206158027932,1527.2647389633519,1781.8088621239106,2036.3529852844692,2290.8971084450277,1147.9597913449506,1434.9497391811885,1721.9396870174262,2008.9296348536639,2295.9195826899013,2582.9095305261394,939.7769225487758,1316.8568493152106,1693.9367760816456,2071.01670284808,2448.096629614515,985.8190550000562,1274.9285084662697,1564.0379619324833,1853.1474153986967,2142.2568688649103
.SPX,2007-02-09,1438.06,16.90136,15.19651,13.61151,15.022811369863014,85.08546057832032,95.72509196812959,1021.0255269398439,1276.2819086748048,1531.5382904097658,1786.7946721447267,2042.0510538796877,2297.3074356146485,1148.701103617555,1435.8763795219438,1723.0516554263327,2010.2269313307213,2297.40220723511,2584.577483139499,942.4065812609849,1320.5416430183188,1698.6767047756525,2076.811766532986,2454.94682829032,986.45566245752,1275.7518126944708,1565.0479629314216,1854.3441131683726,2143.6402634053234
.SPX,2007-02-16,1455.54,17.01098,15.38762,13.7797,15.180572767123287,85.56473524746957,95.8817577128761,1026.7768229696348,1283.4710287120436,1540.1652344544523,1796.859440196861,2053.5536459392697,2310.247851681678,1150.5810925545131,1438.2263656931414,1725.8716388317698,2013.516911970398,2301.1621851090263,2588.8074582476547,947.7150276085506,1327.980072037256,1708.245116465961,2088.510160894666,2468.775205323371,988.070117015263,1277.83973555501,1567.6093540947572,1857.3789726345044,2147.1485911742516
.SPX,2007-02-23,1451.19,16.94924,15.33763,13.77072,15.105813178082192,85.61976820199608,96.06831376053339,1027.437218423953,1284.2965230299412,1541.1558276359294,1798.0151322419176,2054.874436847906,2311.7337414538943,1152.8197651264006,1441.0247064080008,1729.2296476896008,2017.434588971201,2305.6395302528013,2593.8444715344012,948.3245726257546,1328.8341933841539,1709.343814142553,2089.853434900952,2470.363055659351,989.9925938266564,1280.3260138241096,1570.6594338215627,1860.9928538190159,2151.326273816469
.SPX,2007-03-02,1387.17,15.91409,14.67398,13.16389,14.421608794520548,87.1661527614837,96.18691088937676,1045.9938331378044,1307.4922914222554,1568.9907497067065,1830.4892079911576,2091.9876662756087,2353.48612456006,1154.2429306725212,1442.8036633406514,1731.3643960087818,2019.925128676912,2308.4858613450424,2597.0465940131726,965.4523283682302,1352.8343597233163,1740.2163910784025,2127.5984224334884,2514.9804537885743,991.214747881496,1281.9065868900793,1572.5984258986623,1863.2902649072455,2153.9821039158287
.SPX,2007-03-09,1402.85,16.39295,14.82411,13.31635,14.543212246575342,85.57642157146822,96.46080770981976,1026.9170588576185,1283.6463235720232,1540.375588286428,1797.1048530008325,2053.834117715237,2310.563382429642,1157.5296925178372,1446.9121156472963,1736.2945387767556,2025.676961906215,2315.0593850356745,2604.4418081651334,947.8444653358922,1328.1614458864321,1708.4784264369716,2088.7954069875113,2469.112387538051,994.0372791938197,1285.5568770907691,1577.0764749877187,1868.596072884668,2160.1156707816176
.SPX,2007-03-16,1386.95,16.25348,14.67999,13.16274,14.368226301369864,85.33249494877406,96.52896404253937,1023.9899393852886,1279.987424231611,1535.984909077933,1791.9823939242551,2047.9798787705772,2303.9773636168993,1158.3475685104725,1447.9344606380905,1737.5213527657088,2027.1082448933269,2316.695137020945,2606.282029148563,945.1427340058945,1324.375660854312,1703.6085877027292,2082.8415145511462,2462.0744413995635,994.7396363183861,1286.465213277509,1578.1907902366318,1869.9163671957547,2161.6419441548774
.SPX,2007-03-23,1436.11,16.79677,15.20211,13.59454,14.840957287671232,85.49917632973482,96.76666889898091,1025.9901159568178,1282.4876449460223,1538.9851739352268,1795.4827029244314,2051.9802319136356,2308.47776090284,1161.2000267877709,1451.5000334847136,1741.8000401816564,2032.1000468785992,2322.4000535755417,2612.7000602724847,946.9888970203909,1326.9625858492336,1706.9362746780762,2086.9099635069188,2466.8836523357613,997.1892061940514,1289.6331642844668,1582.0771223748825,1874.521080465298,2166.9650385557134
.SPX,2007-03-30,1420.86,16.61644,15.06694,13.46986,14.677515013698631,85.50929079875111,96.80521523390716,1026.1114895850133,1282.6393619812666,1539.16723437752,1795.6951067737732,2052.2229791700265,2308.75085156628,1161.662582806886,1452.0782285086075,1742.4938742103288,2032.9095199120504,2323.325165613772,2613.7408113154934,947.1009248815805,1327.1195642265293,1707.1382035714778,2087.1568429164263,2467.1754822613752,997.5864296343552,1290.146880757795,1582.7073318812352,1875.267783004675,2167.828234128115
.SPX,2007-04-05,1443.76,16.81813,15.3068,13.68065,14.883555479452056,85.84545368599244,97.00370331492543,1030.1454442319093,1287.6818052898866,1545.2181663478639,1802.7545274058411,2060.2908884638186,2317.8272495217957,1164.0444397791052,1455.0555497238815,1746.0666596686578,2037.0777696134342,2328.0888795582105,2619.099989502987,950.8242650992703,1332.3368726646827,1713.849480230095,2095.3620877955073,2476.8746953609198,999.6318671202339,1292.7921801662471,1585.9524932122604,1879.1128062582736,2172.273119304287
.SPX,2007-04-13,1452.85,16.89528,15.37111,13.73765,14.91016101369863,85.99147217447712,97.44026229262057,1031.8976660937255,1289.8720826171568,1547.8464991405883,1805.8209156640196,2063.795332187451,2321.769748710882,1169.283147511447,1461.6039343893085,1753.9247212671703,2046.245508145032,2338.566295022894,2630.8870819007557,952.44156591187,1334.6031058540432,1716.7646457962162,2098.9261857383894,2481.0877256805625,1004.1306465592489,1298.6103088897803,1593.0899712203116,1887.569633550843,2182.0492958813743
.SPX,2007-04-20,1484.35,17.1913,15.67241,14.00393,15.169580410958904,86.34309214544567,97.85043223263224,1036.117105745348,1295.146382181685,1554.175658618022,1813.2049350543589,2072.234211490696,2331.263487927033,1174.205186791587,1467.7564834894836,1761.3077801873803,2054.8590768852773,2348.410373583174,2641.9616702810704,956.3361087925368,1340.0603110101868,1723.7845132278364,2107.5087154454864,2491.232917663136,1008.357484596961,1304.0767444264197,1599.7960042558786,1895.5152640853375,2191.2345239147962
.SPX,2007-04-27,1494.07,17.12985,15.77306,14.0927,15.23442405479452,87.22026170690344,98.07197138705037,1046.6431404828413,1308.3039256035518,1569.964710724262,1831.6254958449722,2093.2862809656826,2354.947066086393,1176.8636566446044,1471.0795708057556,1765.2954849669065,2059.5113991280577,2353.7273132892087,2647.94322745036,966.0516390603515,1353.6741402827788,1741.2966415052058,2128.919142727633,2516.54164395006,1010.6404654626734,1307.0292511518855,1603.4180368410975,1899.8068225303095,2196.1956082195215
.SPX,2007-05-04,1505.62,17.14076,15.89447,14.20493,15.320489287671236,87.83857891948782,98.27492919639377,1054.0629470338538,1317.5786837923172,1581.0944205507808,1844.6101573092442,2108.1258940677076,2371.641630826171,1179.2991503567252,1474.1239379459066,1768.9487255350878,2063.7735131242694,2358.5983007134505,2653.4230883026316,972.9001206515169,1363.2705345699212,1753.6409484883252,2144.0113624067294,2534.381776325133,1012.731963900026,1309.734119727583,1606.7362755551399,1903.7384313826967,2200.7405872102536
.SPX,2007-05-11,1505.85,17.11153,15.88339,14.20255,15.28012961643836,88.0020664429189,98.54955669878656,1056.0247973150267,1320.0309966437835,1584.0371959725403,1848.0433953012969,2112.0495946300534,2376.05579395881,1182.5946803854388,1478.2433504817984,1773.892020578158,2069.540690674518,2365.1893607708776,2660.838030867237,974.7109084992679,1365.807890321859,1756.9048721444499,2148.001853967041,2539.0988357896317,1015.5620249554088,1313.3941479060882,1611.2262708567675,1909.058393807447,2206.8905167581265
.SPX,2007-05-18,1522.75,17.30322,16.06294,14.36964,15.422733424657537,88.00385130628865,98.73411917795713,1056.0462156754638,1320.0577695943298,1584.0693235131957,1848.0808774320617,2112.0924313509277,2376.1039852697936,1184.8094301354854,1481.0117876693569,1777.2141452032283,2073.4165027370996,2369.618860270971,2665.8212178048425,974.7306776463686,1365.835591722202,1756.9405057980352,2148.0454198738685,2539.1503339497017,1017.463957864657,1315.853857398304,1614.2437569319509,1912.6336564655976,2211.0235559992448
.SPX,2007-05-25,1515.73,17.29016,16.00123,14.31077,15.329677397260271,87.66431311219792,98.87553147536504,1051.971757346375,1314.9646966829687,1577.9576360195624,1840.9505753561562,2103.94351469275,2366.9364540293436,1186.5063777043804,1483.1329721304755,1779.7595665565707,2076.386160982666,2373.0127554087608,2669.639349834856,970.9699525292255,1360.5658979150053,1750.161843300785,2139.7577886865647,2529.3537340723447,1018.9212242788341,1317.738493819604,1616.555763360374,1915.3730329011437,2214.1903024419134
.SPX,2007-06-01,1536.34,17.06125,16.08966,14.48185,15.42010624657534,90.04850172173785,99.63225774408697,1080.5820206608541,1350.7275258260677,1620.8730309912812,1891.0185361564947,2161.1640413217083,2431.309546486922,1195.5870929290436,1494.4838661613046,1793.3806393935654,2092.2774126258264,2391.174185858087,2690.0709590903484,997.377226125984,1397.5689337134581,1797.760641300932,2197.952348888406,2598.14405647588,1026.7193563815395,1327.8235706702685,1628.9277849589978,1930.0319992477268,2231.136213536456
.SPX,2007-06-08,1507.67,16.69816,15.73512,14.18402,15.059435342465754,90.28958879301672,100.11464345867977,1083.4750655162006,1354.3438318952508,1625.212598274301,1896.081364653351,2166.9501310324013,2437.8188974114514,1201.3757215041571,1501.7196518801966,1802.0635822562358,2102.407512632275,2402.7514430083143,2703.0953733843535,1000.047506583842,1401.3106483971792,1802.573790210516,2203.836932023853,2605.10007383719,1031.6903844564679,1334.252443572418,1636.8145026883683,1939.3765618043185,2241.9386209202685
