"Date","Price","PE","Forward_PE","Source"
"2022-03-21","3525.340087890625","20.3267590416147","18.151189078577072","YFINANCE"
"2022-03-28","3366.639892578125","19.511652401422694","17.508861947425576","YFINANCE"
"2022-04-04","3120.159912109375","17.79304059983746","17.26438280974187","YFINANCE"
"2022-04-11","3028.219970703125","17.229589248491497","16.365354924129075","YFINANCE"
"2022-04-18","2989.830078125","17.077857129714747","16.224736407163274","YFINANCE"
"2022-04-25","2919.739990234375","16.716460898531796","15.884699469009938","YFINANCE"
"2022-05-02","2982.06005859375","17.078885103041657","16.431449898601205","YFINANCE"
"2022-05-09","2970.3701171875","16.900998286182872","16.32414272751757","YFINANCE"
"2022-05-16","2882.64990234375","16.273250277228428","15.73309416978896","YFINANCE"
"2022-05-23","3115.35009765625","17.460578801177913","16.951180007040637","YFINANCE"
"2022-05-30","3062.590087890625","16.751266092913067","17.339400381742212","YFINANCE"
"2022-06-06","2831.97998046875","15.390712219110725","19.328351330835922","YFINANCE"
"2022-06-13","2578.5400390625","13.980194740901124","17.56957737312513","YFINANCE"
"2022-06-20","2718.469970703125","14.716498540229003","18.457477963991995","YFINANCE"
"2022-06-27","2458.4599609375","13.371903899628931","16.728264896495773","YFINANCE"
"2022-07-04","2618.02001953125","14.06125282282136","19.812214487935485","YFINANCE"
"2022-07-11","2693.77001953125","14.481631475040828","20.380807224498096","YFINANCE"
"2022-07-18","2842.409912109375","15.03958359097732","21.69942263999631","YFINANCE"
"2022-07-25","2967.139892578125","15.43655058650841","22.716364839509676","YFINANCE"
"2022-08-01","3053.389892578125","15.930402182058499","24.30673628007639","YFINANCE"
"2022-08-08","3067.840087890625","15.995660582657614","24.62840116063701","YFINANCE"
"2022-08-15","2953.340087890625","15.482487885171178","23.777209887662988","YFINANCE"
"2022-08-22","2798.43994140625","14.614158756231886","22.55107491588819","YFINANCE"
"2022-08-29","2599.260009765625","13.727463389909323","20.677246518362775","YFINANCE"
"2022-09-05","2721.77001953125","14.161842865516482","21.624703593929066","YFINANCE"
"2022-09-12","2563.139892578125","13.24872230166583","20.424473619516018","YFINANCE"
"2022-09-19","2408.89990234375","12.473814135846343","19.200458110302957","YFINANCE"
"2022-09-26","2306.699951171875","12.039463386059154","18.40102083696493","YFINANCE"
"2022-10-03","2356.75","12.62552870032888","20.381900586298897","YFINANCE"
"2022-10-10","2162.320068359375","11.684422781558432","18.18775405467645","YFINANCE"
"2022-10-17","2336.68994140625","12.469327531519028","19.837677925491707","YFINANCE"
"2022-10-24","2433.659912109375","12.915952506629472","21.219959502340252","YFINANCE"
"2022-10-31","2398.239990234375","13.129605216253855","21.191832182111675","YFINANCE"
"2022-11-07","2754.89990234375","14.879154941099832","24.77746729915816","YFINANCE"
"2022-11-14","2724.030029296875","14.486751591081635","24.95560358271878","YFINANCE"
"2022-11-21","2751.27001953125","14.656130573507376","24.063081615227034","YFINANCE"
"2022-11-28","2771.239990234375","14.572177045991163","24.771772452480086","YFINANCE"
"2022-12-05","2721.02001953125","14.550843947561411","19.622982920730145","YFINANCE"
"2022-12-12","2636.10009765625","13.987384696788641","18.92819420357587","YFINANCE"
"2022-12-19","2535.489990234375","13.473064679749948","18.09182360981368","YFINANCE"
"2022-12-26","2532.110107421875","14.262562424618004","18.74641836467276","YFINANCE"
"2023-01-02","2636.10009765625","15.05022170523073","20.28403256211685","YFINANCE"
